date,vaccination_rate,I_owid,new_cases,people_vaccinated,I_who,I
2020-01-05,0.0,0,0.0,,0,0
2020-01-12,0.0,0,0.0,,0,0
2020-01-19,0.0,0,0.0,,0,0
2020-01-26,0.0,1,7.0,,1,1
2020-02-02,0.0,1,2.0,,1,1
2020-02-09,0.0,1,11.0,,1,1
2020-02-16,0.0,1,4.0,,1,1
2020-02-23,0.0,1,16.0,,1,1
2020-03-01,0.0,1,33.0,,1,1
2020-03-08,0.0,1,391.0,,1,1
2020-03-15,0.0,1,3465.0,,1,1
2020-03-22,0.0,1,27486.0,,1,1
2020-03-29,0.0,1,94894.0,,1,1
2020-04-05,0.0,1,176151.0,,1,1
2020-04-12,0.0,1,219172.0,,1,1
2020-04-19,0.0,1,196150.0,,1,1
2020-04-26,0.0,1,205165.0,,1,1
2020-05-03,0.0,1,198436.0,,1,1
2020-05-10,0.0,1,182246.0,,1,1
2020-05-17,0.0,1,169032.0,,1,1
2020-05-24,0.0,1,166325.0,,1,1
2020-05-31,0.0,1,146436.0,,1,1
2020-06-07,0.0,1,149780.0,,1,1
2020-06-14,0.0,1,151876.0,,1,1
2020-06-21,0.0,1,180021.0,,1,1
2020-06-28,0.0,1,258278.0,,1,1
2020-07-05,0.0,1,342166.0,,1,1
2020-07-12,0.0,1,392205.0,,1,1
2020-07-19,0.0,1,466267.0,,1,1
2020-07-26,0.0,1,467901.0,,1,1
2020-08-02,0.0,1,431250.0,,1,1
2020-08-09,0.0,1,375909.0,,1,1
2020-08-16,0.0,1,362662.0,,1,1
2020-08-23,0.0,1,315788.0,,1,1
2020-08-30,0.0,1,294946.0,,1,1
2020-09-06,0.0,1,295253.0,,1,1
2020-09-13,0.0,1,245621.0,,1,1
2020-09-20,0.0,1,280977.0,,1,1
2020-09-27,0.0,1,304774.0,,1,1
2020-10-04,0.0,1,298348.0,,1,1
2020-10-11,0.0,1,334249.0,,1,1
2020-10-18,0.0,1,387634.0,,1,1
2020-10-25,0.0,1,449438.0,,1,1
2020-11-01,0.0,1,559394.0,,1,1
2020-11-08,0.0,1,790094.0,,1,1
2020-11-15,0.0,1,1004845.0,,1,1
2020-11-22,0.0,1,1175483.0,,1,1
2020-11-29,0.0,1,1162401.0,,1,1
2020-12-06,0.0,1,1280932.0,,1,1
2020-12-13,0.00010883270469688574,1,1468482.0,36817.0,1,1
2020-12-20,0.0035706953033791235,1,1517928.0,1207930.0,1,1
2020-12-27,0.008970975470219243,1,1360122.0,3034790.0,1,1
2021-01-03,0.01799633921036048,1,1380995.0,6087979.0,1,1
2021-01-10,0.03115360337615326,1,1667151.0,10538948.0,1,1
2021-01-17,0.048281811323364066,1,1589955.0,16333247.0,1,1
2021-01-24,0.0677109602718918,1,1265861.0,22905931.0,1,1
2021-01-31,0.08839963560716406,1,1068625.0,29904700.0,1,1
2021-02-07,0.10877127512803694,1,857250.0,36796219.0,1,1
2021-02-14,0.12942703785950946,1,670572.0,43783854.0,1,1
2021-02-21,0.14378025571065306,1,473485.0,48639402.0,1,1
2021-02-28,0.16623834857170533,1,465751.0,56236747.0,1,1
2021-03-07,0.19703404585681694,1,420739.0,66654619.0,1,1
2021-03-14,0.23200956105523898,1,384000.0,78486481.0,1,1
2021-03-21,0.26795280849331765,1,379551.0,90645717.0,1,1
2021-03-28,0.3039210108623535,1,417818.0,102813395.0,1,1
2021-04-04,0.3404587218837564,1,449960.0,115173732.0,1,1
2021-04-11,0.3822130333107003,1,455950.0,129298792.0,1,1
2021-04-18,0.4124936900265789,1,467217.0,139542431.0,1,1
2021-04-25,0.43651615731569554,1,406095.0,147668988.0,1,1
2021-05-02,0.455719360973094,1,338407.0,154165237.0,1,1
2021-05-09,0.4692584131165908,1,292324.0,158745361.0,1,1
2021-05-16,0.48465706284731164,1,233350.0,163954568.0,1,1
2021-05-23,0.5018216005862144,1,181609.0,169761157.0,1,1
2021-05-30,0.5130184039571083,1,147811.0,173548922.0,1,1
2021-06-06,0.5207451535289311,1,99112.0,176162803.0,1,1
2021-06-13,0.5278426232207211,1,99565.0,178563805.0,1,1
2021-06-20,0.5340988261853172,1,80627.0,180680215.0,1,1
2021-06-27,0.5399503288682709,1,87637.0,182659719.0,1,1
2021-07-04,0.5449584009991716,1,97037.0,184353899.0,1,1
2021-07-11,0.5499799349584991,1,286510.0,186052633.0,1,1
2021-07-18,0.5554394867814186,1,222579.0,187899544.0,1,1
2021-07-25,0.5628435929216866,1,359027.0,190404278.0,1,1
2021-08-01,0.5719402032557548,1,547086.0,193481569.0,1,1
2021-08-08,0.5820589784400748,1,743056.0,196904648.0,1,1
2021-08-15,0.5916373827065036,1,886464.0,200144925.0,1,1
