date,new_cases,new_deaths,I,vaccination_rate,people_vaccinated,people_vaccinated_per_hundred
2020-01-26,5.0,0.0,1,0.0,0.0,0.0
2020-02-02,6.0,0.0,1,0.0,0.0,0.0
2020-02-09,1.0,0.0,1,0.0,0.0,0.0
2020-02-16,3.0,0.0,1,0.0,0.0,0.0
2020-02-23,15.0,0.0,1,0.0,0.0,0.0
2020-03-01,58.0,3.0,1,0.0,0.0,0.0
2020-03-08,459.0,19.0,1,0.0,0.0,0.0
2020-03-15,3053.0,46.0,1,0.0,0.0,0.0
2020-03-22,29473.0,390.0,1,0.0,0.0,0.0
2020-03-29,109413.0,2260.0,1,0.0,0.0,0.0
2020-04-05,195655.0,8138.0,1,0.0,0.0,0.0
2020-04-12,220108.0,13993.0,1,0.0,0.0,0.0
2020-04-19,199347.0,15330.0,1,0.0,0.0,0.0
2020-04-26,213400.0,14401.0,1,0.0,0.0,0.0
2020-05-03,194346.0,13236.0,1,0.0,0.0,0.0
2020-05-10,171486.0,11949.0,1,0.0,0.0,0.0
2020-05-17,156938.0,9803.0,1,0.0,0.0,0.0
2020-05-24,157705.0,8112.0,1,0.0,0.0,0.0
2020-05-31,147831.0,6699.0,1,0.0,0.0,0.0
2020-06-07,154132.0,6043.0,1,0.0,0.0,0.0
2020-06-14,153023.0,5346.0,1,0.0,0.0,0.0
2020-06-21,187956.0,4206.0,1,0.0,0.0,0.0
2020-06-28,271023.0,5841.0,1,0.0,0.0,0.0
2020-07-05,345346.0,4126.0,1,0.0,0.0,0.0
2020-07-12,407497.0,5036.0,1,0.0,0.0,0.0
2020-07-19,466847.0,5396.0,1,0.0,0.0,0.0
2020-07-26,459428.0,6380.0,1,0.0,0.0,0.0
2020-08-02,434737.0,8584.0,1,0.0,0.0,0.0
2020-08-09,377147.0,7149.0,1,0.0,0.0,0.0
2020-08-16,361226.0,7429.0,1,0.0,0.0,0.0
2020-08-23,296186.0,6778.0,1,0.0,0.0,0.0
2020-08-30,295120.0,6291.0,1,0.0,0.0,0.0
2020-09-06,283729.0,5836.0,1,0.0,0.0,0.0
2020-09-13,245515.0,5138.0,1,0.0,0.0,0.0
2020-09-20,287736.0,5409.0,1,0.0,0.0,0.0
2020-09-27,313670.0,5235.0,1,0.0,0.0,0.0
2020-10-04,305955.0,5004.0,1,0.0,0.0,0.0
2020-10-11,370067.0,5000.0,1,0.0,0.0,0.0
2020-10-18,398722.0,4935.0,1,0.0,0.0,0.0
2020-10-25,488992.0,5623.0,1,0.0,0.0,0.0
2020-11-01,579846.0,5776.0,1,0.0,0.0,0.0
2020-11-08,777926.0,7113.0,1,0.0,0.0,0.0
2020-11-15,1052533.0,8035.0,1,0.0,0.0,0.0
2020-11-22,1199568.0,10513.0,1,0.0,0.0,0.0
2020-11-29,1134434.0,10160.0,1,0.0,0.0,0.0
2020-12-06,1379793.0,15558.0,1,0.0,0.0,0.0
2020-12-13,1541442.0,17019.0,1,1.4285714285714287e-05,5259.571428571428,0.0014285714285714286
2020-12-20,1511580.0,18472.0,1,0.001757142857142857,588366.0,0.1757142857142857
2020-12-27,1294310.0,15443.0,1,0.007642857142857143,2539561.0,0.7642857142857142
2021-01-03,1490651.0,18441.0,1,0.01565714285714286,5200668.714285715,1.5657142857142858
2021-01-10,1784137.0,22746.0,1,0.026857142857142857,8917411.0,2.685714285714286
2021-01-17,1537280.0,23184.0,1,0.04257142857142857,14139935.0,4.257142857142857
2021-01-24,1193205.0,21595.0,1,0.06104285714285714,20262779.285714287,6.104285714285715
2021-01-31,1041614.0,22080.0,1,0.08194285714285714,27204992.57142857,8.194285714285714
2021-02-07,824413.0,22054.0,1,0.10264285714285713,34080586.14285714,10.264285714285714
2021-02-14,638046.0,21801.0,1,0.12357142857142857,41025594.28571428,12.357142857142858
2021-02-21,464676.0,13496.0,1,0.14091428571428571,46788041.0,14.09142857142857
2021-02-28,475351.0,14329.0,1,0.15928571428571428,52878250.14285714,15.928571428571429
2021-03-07,410578.0,11667.0,1,0.18801428571428572,62417498.28571428,18.80142857142857
2021-03-14,422706.0,9851.0,1,0.22254285714285715,73886103.42857143,22.254285714285714
2021-03-21,380337.0,7466.0,1,0.2587857142857143,85919849.28571428,25.87857142857143
2021-03-28,440195.0,6931.0,1,0.2957142857142857,98186828.85714285,29.571428571428573
2021-04-04,447650.0,5705.0,1,0.3332,110624347.42857143,33.32
2021-04-11,486431.0,6963.0,1,0.37288571428571426,123809000.85714285,37.28857142857142
