country,date,I_sum,I_mean,I_count,vaccination_rate_mean,vaccination_rate_max,vaccination_rate_min,new_cases_sum,new_cases_mean,new_cases_max,people_vaccinated_mean,people_vaccinated_max
United States,2020-01-05,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,,
United States,2020-01-12,0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,,
United States,2020-01-19,0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,,
United States,2020-01-26,1,0.14285714285714285,7,0.0,0.0,0.0,7.0,1.0,7.0,,
United States,2020-02-02,1,0.14285714285714285,7,0.0,0.0,0.0,2.0,0.2857142857142857,2.0,,
United States,2020-02-09,1,0.14285714285714285,7,0.0,0.0,0.0,11.0,1.5714285714285714,11.0,,
United States,2020-02-16,1,0.14285714285714285,7,0.0,0.0,0.0,4.0,0.5714285714285714,4.0,,
United States,2020-02-23,1,0.14285714285714285,7,0.0,0.0,0.0,16.0,2.2857142857142856,16.0,,
United States,2020-03-01,1,0.14285714285714285,7,0.0,0.0,0.0,33.0,4.714285714285714,33.0,,
United States,2020-03-08,1,0.14285714285714285,7,0.0,0.0,0.0,391.0,55.857142857142854,391.0,,
United States,2020-03-15,1,0.14285714285714285,7,0.0,0.0,0.0,3465.0,495.0,3465.0,,
United States,2020-03-22,1,0.14285714285714285,7,0.0,0.0,0.0,27486.0,3926.5714285714284,27486.0,,
United States,2020-03-29,1,0.14285714285714285,7,0.0,0.0,0.0,94894.0,13556.285714285714,94894.0,,
United States,2020-04-05,1,0.14285714285714285,7,0.0,0.0,0.0,176151.0,25164.428571428572,176151.0,,
United States,2020-04-12,1,0.14285714285714285,7,0.0,0.0,0.0,219172.0,31310.285714285714,219172.0,,
United States,2020-04-19,1,0.14285714285714285,7,0.0,0.0,0.0,196150.0,28021.428571428572,196150.0,,
United States,2020-04-26,1,0.14285714285714285,7,0.0,0.0,0.0,205165.0,29309.285714285714,205165.0,,
United States,2020-05-03,1,0.14285714285714285,7,0.0,0.0,0.0,198436.0,28348.0,198436.0,,
United States,2020-05-10,1,0.14285714285714285,7,0.0,0.0,0.0,182246.0,26035.14285714286,182246.0,,
United States,2020-05-17,1,0.14285714285714285,7,0.0,0.0,0.0,169032.0,24147.428571428572,169032.0,,
United States,2020-05-24,1,0.14285714285714285,7,0.0,0.0,0.0,166325.0,23760.714285714286,166325.0,,
United States,2020-05-31,1,0.14285714285714285,7,0.0,0.0,0.0,146436.0,20919.428571428572,146436.0,,
United States,2020-06-07,1,0.14285714285714285,7,0.0,0.0,0.0,149780.0,21397.14285714286,149780.0,,
United States,2020-06-14,1,0.14285714285714285,7,0.0,0.0,0.0,151876.0,21696.571428571428,151876.0,,
United States,2020-06-21,1,0.14285714285714285,7,0.0,0.0,0.0,180021.0,25717.285714285714,180021.0,,
United States,2020-06-28,1,0.14285714285714285,7,0.0,0.0,0.0,258278.0,36896.857142857145,258278.0,,
United States,2020-07-05,1,0.14285714285714285,7,0.0,0.0,0.0,342166.0,48880.857142857145,342166.0,,
United States,2020-07-12,1,0.14285714285714285,7,0.0,0.0,0.0,392205.0,56029.28571428572,392205.0,,
United States,2020-07-19,1,0.14285714285714285,7,0.0,0.0,0.0,466267.0,66609.57142857143,466267.0,,
United States,2020-07-26,1,0.14285714285714285,7,0.0,0.0,0.0,467901.0,66843.0,467901.0,,
United States,2020-08-02,1,0.14285714285714285,7,0.0,0.0,0.0,431250.0,61607.142857142855,431250.0,,
United States,2020-08-09,1,0.14285714285714285,7,0.0,0.0,0.0,375909.0,53701.28571428572,375909.0,,
United States,2020-08-16,1,0.14285714285714285,7,0.0,0.0,0.0,362662.0,51808.857142857145,362662.0,,
United States,2020-08-23,1,0.14285714285714285,7,0.0,0.0,0.0,315788.0,45112.57142857143,315788.0,,
United States,2020-08-30,1,0.14285714285714285,7,0.0,0.0,0.0,294946.0,42135.142857142855,294946.0,,
United States,2020-09-06,1,0.14285714285714285,7,0.0,0.0,0.0,295253.0,42179.0,295253.0,,
United States,2020-09-13,1,0.14285714285714285,7,0.0,0.0,0.0,245621.0,35088.71428571428,245621.0,,
United States,2020-09-20,1,0.14285714285714285,7,0.0,0.0,0.0,280977.0,40139.57142857143,280977.0,,
United States,2020-09-27,1,0.14285714285714285,7,0.0,0.0,0.0,304774.0,43539.142857142855,304774.0,,
United States,2020-10-04,1,0.14285714285714285,7,0.0,0.0,0.0,298348.0,42621.142857142855,298348.0,,
United States,2020-10-11,1,0.14285714285714285,7,0.0,0.0,0.0,334249.0,47749.857142857145,334249.0,,
United States,2020-10-18,1,0.14285714285714285,7,0.0,0.0,0.0,387634.0,55376.28571428572,387634.0,,
United States,2020-10-25,1,0.14285714285714285,7,0.0,0.0,0.0,449438.0,64205.42857142857,449438.0,,
United States,2020-11-01,1,0.14285714285714285,7,0.0,0.0,0.0,559394.0,79913.42857142857,559394.0,,
United States,2020-11-08,1,0.14285714285714285,7,0.0,0.0,0.0,790094.0,112870.57142857143,790094.0,,
United States,2020-11-15,1,0.14285714285714285,7,0.0,0.0,0.0,1004845.0,143549.2857142857,1004845.0,,
United States,2020-11-22,1,0.14285714285714285,7,0.0,0.0,0.0,1175483.0,167926.14285714287,1175483.0,,
United States,2020-11-29,1,0.14285714285714285,7,0.0,0.0,0.0,1162401.0,166057.2857142857,1162401.0,,
United States,2020-12-06,1,0.14285714285714285,7,0.0,0.0,0.0,1280932.0,182990.2857142857,1280932.0,,
United States,2020-12-13,1,0.14285714285714285,7,1.554752924241225e-05,0.00010883270469688574,0.0,1468482.0,209783.14285714287,1468482.0,36817.0,36817.0
United States,2020-12-20,1,0.14285714285714285,7,0.0017392363074581817,0.0035706953033791235,0.00012257240134330247,1517928.0,216846.85714285713,1517928.0,588366.0,1207930.0
United States,2020-12-27,1,0.14285714285714285,7,0.0075070563156348375,0.008970975470219243,0.004692260119085569,1360122.0,194303.14285714287,1360122.0,2539561.0,3034790.0
United States,2021-01-03,1,0.14285714285714285,7,0.015373410174870022,0.01799633921036048,0.010692029145562082,1380995.0,197285.0,1380995.0,5200668.714285715,6087979.0
United States,2021-01-10,1,0.14285714285714285,7,0.026360267214160866,0.03115360337615326,0.019786428358052804,1667151.0,238164.42857142858,1667151.0,8917411.0,10538948.0
United States,2021-01-17,1,0.14285714285714285,7,0.04179828259467526,0.048281811323364066,0.03330058764753502,1589955.0,227136.42857142858,1589955.0,14139935.0,16333247.0
United States,2021-01-24,1,0.14285714285714285,7,0.05989768515469256,0.0677109602718918,0.05018805529894459,1265861.0,180837.2857142857,1265861.0,20262779.285714287,22905931.0
United States,2021-01-31,1,0.14285714285714285,7,0.08041917925977825,0.08839963560716406,0.07026924862919921,1068625.0,152660.7142857143,1068625.0,27204992.57142857,29904700.0
United States,2021-02-07,1,0.14285714285714285,7,0.1007437424989094,0.10877127512803694,0.09071888339448168,857250.0,122464.28571428571,857250.0,34080586.14285714,36796219.0
