country,date,I_sum,I_mean,I_count,new_cases_sum,new_cases_mean,new_cases_max
United States,2020-01-31,1,0.25,4,7.0,7.0,7.0
United States,2020-02-29,4,1.0,4,33.0,8.25,16.0
United States,2020-03-31,5,1.0,5,126269.0,25253.8,94894.0
United States,2020-04-30,4,1.0,4,796638.0,199159.5,219172.0
United States,2020-05-31,5,1.0,5,862475.0,172495.0,198436.0
United States,2020-06-30,4,1.0,4,739955.0,184988.75,258278.0
United States,2020-07-31,4,1.0,4,1668539.0,417134.75,467901.0
United States,2020-08-31,5,1.0,5,1780555.0,356111.0,431250.0
United States,2020-09-30,4,1.0,4,1126625.0,281656.25,304774.0
United States,2020-10-31,4,1.0,4,1469669.0,367417.25,449438.0
United States,2020-11-30,5,1.0,5,4692217.0,938443.4,1175483.0
United States,2020-12-31,4,1.0,4,5627464.0,1406866.0,1517928.0
United States,2021-01-31,5,1.0,5,6972587.0,1394517.4,1667151.0
United States,2021-02-28,4,1.0,4,2467058.0,616764.5,857250.0
United States,2021-03-31,4,1.0,4,1602108.0,400527.0,420739.0
United States,2021-04-30,4,1.0,4,1779222.0,444805.5,467217.0
United States,2021-05-31,5,1.0,5,1193501.0,238700.2,338407.0
United States,2021-06-30,4,1.0,4,366941.0,91735.25,99565.0
United States,2021-07-31,4,1.0,4,965153.0,241288.25,359027.0
United States,2021-08-31,5,1.0,5,4291462.0,858292.4,1094890.0
United States,2021-09-30,4,1.0,4,4056569.0,1014142.25,1144251.0
United States,2021-10-31,5,1.0,5,3054638.0,610927.6,755688.0
United States,2021-11-30,4,1.0,4,2336661.0,584165.25,676876.0
United States,2021-12-31,4,1.0,4,3902514.0,975628.5,1417419.0
United States,2022-01-31,5,1.0,5,21878018.0,4375603.6,5650933.0
United States,2022-02-28,4,1.0,4,4577250.0,1144312.5,2188710.0
United States,2022-03-31,4,1.0,4,969050.0,242262.5,332509.0
United States,2022-04-30,4,1.0,4,944316.0,236079.0,300721.0
United States,2022-05-31,5,1.0,5,2924377.0,584875.4,740720.0
United States,2022-06-30,4,1.0,4,2798564.0,699641.0,741044.0
United States,2022-07-31,5,1.0,5,4262448.0,852489.6,947983.0
United States,2022-08-31,4,1.0,4,2744923.0,686230.75,788051.0
United States,2022-09-30,4,1.0,4,1805498.0,451374.5,580363.0
United States,2022-10-31,5,1.0,5,1391988.0,278397.6,321234.0
United States,2022-11-30,4,1.0,4,1125356.0,281339.0,300171.0
United States,2022-12-31,4,1.0,4,1718845.0,429711.25,508009.0
United States,2023-01-31,5,1.0,5,1914901.0,382980.2,471714.0
United States,2023-02-28,4,1.0,4,1085170.0,271292.5,285402.0
United States,2023-03-31,4,1.0,4,678002.0,169500.5,227828.0
United States,2023-04-30,5,1.0,5,568838.0,113767.6,176358.0
United States,2023-05-31,2,0.5,4,170425.0,85212.5,93260.0
United States,2023-06-30,0,0.0,4,0.0,,
United States,2023-07-31,0,0.0,5,0.0,,
United States,2023-08-31,0,0.0,4,0.0,,
United States,2023-09-30,0,0.0,4,0.0,,
United States,2023-10-31,0,0.0,5,0.0,,
United States,2023-11-30,0,0.0,4,0.0,,
United States,2023-12-31,0,0.0,5,0.0,,
United States,2024-01-31,0,0.0,4,0.0,,
United States,2024-02-29,0,0.0,4,0.0,,
United States,2024-03-31,0,0.0,5,0.0,,
United States,2024-04-30,0,0.0,4,0.0,,
United States,2024-05-31,0,0.0,4,0.0,,
United States,2024-06-30,0,0.0,5,0.0,,
United States,2024-07-31,0,0.0,4,0.0,,
United States,2024-08-31,0,0.0,4,0.0,,
United States,2024-09-30,0,0.0,5,0.0,,
United States,2024-10-31,0,0.0,4,0.0,,
United States,2024-11-30,0,0.0,4,0.0,,
United States,2024-12-31,0,0.0,5,0.0,,
United States,2025-01-31,0,0.0,4,0.0,,
United States,2025-02-28,0,0.0,4,0.0,,
United States,2025-03-31,0,0.0,5,0.0,,
United States,2025-04-30,0,0.0,4,0.0,,
United States,2025-05-31,0,0.0,4,0.0,,
United States,2025-06-30,0,0.0,5,0.0,,
United States,2025-07-31,0,0.0,4,0.0,,
United States,2025-08-31,0,0.0,5,0.0,,
United States,2025-09-30,0,0.0,4,0.0,,
United States,2025-10-31,0,0.0,4,0.0,,
United States,2025-11-30,0,0.0,5,0.0,,
United States,2025-12-31,0,0.0,1,0.0,,
