date,Country_code,Country,WHO_region,new_cases,Cumulative_cases,New_deaths,Cumulative_deaths,I
2020-01-05,US,United States of America,AMRO,,0,,0,0
2020-01-12,US,United States of America,AMRO,,0,,0,0
2020-01-19,US,United States of America,AMRO,,0,,0,0
2020-01-26,US,United States of America,AMRO,7.0,7,,0,1
2020-02-02,US,United States of America,AMRO,2.0,9,,0,1
2020-02-09,US,United States of America,AMRO,11.0,20,,0,1
2020-02-16,US,United States of America,AMRO,4.0,24,,0,1
2020-02-23,US,United States of America,AMRO,16.0,40,,0,1
2020-03-01,US,United States of America,AMRO,33.0,73,1.0,1,1
2020-03-08,US,United States of America,AMRO,391.0,464,18.0,19,1
2020-03-15,US,United States of America,AMRO,3465.0,3929,50.0,69,1
2020-03-22,US,United States of America,AMRO,27486.0,31415,305.0,374,1
2020-03-29,US,United States of America,AMRO,94894.0,126309,1732.0,2106,1
2020-04-05,US,United States of America,AMRO,176151.0,302460,6642.0,8748,1
2020-04-12,US,United States of America,AMRO,219172.0,521632,13889.0,22637,1
2020-04-19,US,United States of America,AMRO,196150.0,717782,15898.0,38535,1
2020-04-26,US,United States of America,AMRO,205165.0,922947,14899.0,53434,1
2020-05-03,US,United States of America,AMRO,198436.0,1121383,13635.0,67069,1
2020-05-10,US,United States of America,AMRO,182246.0,1303629,12758.0,79827,1
2020-05-17,US,United States of America,AMRO,169032.0,1472661,10130.0,89957,1
2020-05-24,US,United States of America,AMRO,166325.0,1638986,8558.0,98515,1
2020-05-31,US,United States of America,AMRO,146436.0,1785422,6810.0,105325,1
2020-06-07,US,United States of America,AMRO,149780.0,1935202,5987.0,111312,1
2020-06-14,US,United States of America,AMRO,151876.0,2087078,5370.0,116682,1
2020-06-21,US,United States of America,AMRO,180021.0,2267099,4455.0,121137,1
2020-06-28,US,United States of America,AMRO,258278.0,2525377,6081.0,127218,1
2020-07-05,US,United States of America,AMRO,342166.0,2867543,4451.0,131669,1
2020-07-12,US,United States of America,AMRO,392205.0,3259748,5529.0,137198,1
2020-07-19,US,United States of America,AMRO,466267.0,3726015,6666.0,143864,1
2020-07-26,US,United States of America,AMRO,467901.0,4193916,7726.0,151590,1
2020-08-02,US,United States of America,AMRO,431250.0,4625166,8146.0,159736,1
2020-08-09,US,United States of America,AMRO,375909.0,5001075,7799.0,167535,1
2020-08-16,US,United States of America,AMRO,362662.0,5363737,7404.0,174939,1
2020-08-23,US,United States of America,AMRO,315788.0,5679525,6677.0,181616,1
2020-08-30,US,United States of America,AMRO,294946.0,5974471,6343.0,187959,1
2020-09-06,US,United States of America,AMRO,295253.0,6269724,5705.0,193664,1
2020-09-13,US,United States of America,AMRO,245621.0,6515345,4977.0,198641,1
2020-09-20,US,United States of America,AMRO,280977.0,6796322,5176.0,203817,1
2020-09-27,US,United States of America,AMRO,304774.0,7101096,4776.0,208593,1
2020-10-04,US,United States of America,AMRO,298348.0,7399444,4687.0,213280,1
2020-10-11,US,United States of America,AMRO,334249.0,7733693,4615.0,217895,1
2020-10-18,US,United States of America,AMRO,387634.0,8121327,4801.0,222696,1
2020-10-25,US,United States of America,AMRO,449438.0,8570765,5723.0,228419,1
2020-11-01,US,United States of America,AMRO,559394.0,9130159,6096.0,234515,1
2020-11-08,US,United States of America,AMRO,790094.0,9920253,7204.0,241719,1
2020-11-15,US,United States of America,AMRO,1004845.0,10925098,8717.0,250436,1
2020-11-22,US,United States of America,AMRO,1175483.0,12100581,10820.0,261256,1
2020-11-29,US,United States of America,AMRO,1162401.0,13262982,11950.0,273206,1
2020-12-06,US,United States of America,AMRO,1280932.0,14543914,14801.0,288007,1
2020-12-13,US,United States of America,AMRO,1468482.0,16012396,17714.0,305721,1
2020-12-20,US,United States of America,AMRO,1517928.0,17530324,18866.0,324587,1
2020-12-27,US,United States of America,AMRO,1360122.0,18890446,18333.0,342920,1
2021-01-03,US,United States of America,AMRO,1380995.0,20271441,19650.0,362570,1
2021-01-10,US,United States of America,AMRO,1667151.0,21938592,21497.0,384067,1
2021-01-17,US,United States of America,AMRO,1589955.0,23528547,23312.0,407379,1
2021-01-24,US,United States of America,AMRO,1265861.0,24794408,22495.0,429874,1
2021-01-31,US,United States of America,AMRO,1068625.0,25863033,22249.0,452123,1
2021-02-07,US,United States of America,AMRO,857250.0,26720283,20100.0,472223,1
2021-02-14,US,United States of America,AMRO,670572.0,27390855,19838.0,492061,1
2021-02-21,US,United States of America,AMRO,473485.0,27864340,14432.0,506493,1
2021-02-28,US,United States of America,AMRO,465751.0,28330091,13360.0,519853,1
2021-03-07,US,United States of America,AMRO,420739.0,28750830,10446.0,530299,1
2021-03-14,US,United States of America,AMRO,384000.0,29134830,8559.0,538858,1
2021-03-21,US,United States of America,AMRO,379551.0,29514381,6264.0,545122,1
2021-03-28,US,United States of America,AMRO,417818.0,29932199,6111.0,551233,1
2021-04-04,US,United States of America,AMRO,449960.0,30382159,5352.0,556585,1
2021-04-11,US,United States of America,AMRO,455950.0,30838109,4903.0,561488,1
2021-04-18,US,United States of America,AMRO,467217.0,31305326,4875.0,566363,1
2021-04-25,US,United States of America,AMRO,406095.0,31711421,4721.0,571084,1
