country,date,I_sum,I_mean,I_count,new_cases_sum,new_cases_mean,new_cases_max
United States,2020-01-05,0,0.0,1,0.0,,
United States,2020-01-12,0,0.0,1,0.0,,
United States,2020-01-19,0,0.0,1,0.0,,
United States,2020-01-26,1,1.0,1,7.0,7.0,7.0
United States,2020-02-02,1,1.0,1,2.0,2.0,2.0
United States,2020-02-09,1,1.0,1,11.0,11.0,11.0
United States,2020-02-16,1,1.0,1,4.0,4.0,4.0
United States,2020-02-23,1,1.0,1,16.0,16.0,16.0
United States,2020-03-01,1,1.0,1,33.0,33.0,33.0
United States,2020-03-08,1,1.0,1,391.0,391.0,391.0
United States,2020-03-15,1,1.0,1,3465.0,3465.0,3465.0
United States,2020-03-22,1,1.0,1,27486.0,27486.0,27486.0
United States,2020-03-29,1,1.0,1,94894.0,94894.0,94894.0
United States,2020-04-05,1,1.0,1,176151.0,176151.0,176151.0
United States,2020-04-12,1,1.0,1,219172.0,219172.0,219172.0
United States,2020-04-19,1,1.0,1,196150.0,196150.0,196150.0
United States,2020-04-26,1,1.0,1,205165.0,205165.0,205165.0
United States,2020-05-03,1,1.0,1,198436.0,198436.0,198436.0
United States,2020-05-10,1,1.0,1,182246.0,182246.0,182246.0
United States,2020-05-17,1,1.0,1,169032.0,169032.0,169032.0
United States,2020-05-24,1,1.0,1,166325.0,166325.0,166325.0
United States,2020-05-31,1,1.0,1,146436.0,146436.0,146436.0
United States,2020-06-07,1,1.0,1,149780.0,149780.0,149780.0
United States,2020-06-14,1,1.0,1,151876.0,151876.0,151876.0
United States,2020-06-21,1,1.0,1,180021.0,180021.0,180021.0
United States,2020-06-28,1,1.0,1,258278.0,258278.0,258278.0
United States,2020-07-05,1,1.0,1,342166.0,342166.0,342166.0
United States,2020-07-12,1,1.0,1,392205.0,392205.0,392205.0
United States,2020-07-19,1,1.0,1,466267.0,466267.0,466267.0
United States,2020-07-26,1,1.0,1,467901.0,467901.0,467901.0
United States,2020-08-02,1,1.0,1,431250.0,431250.0,431250.0
United States,2020-08-09,1,1.0,1,375909.0,375909.0,375909.0
United States,2020-08-16,1,1.0,1,362662.0,362662.0,362662.0
United States,2020-08-23,1,1.0,1,315788.0,315788.0,315788.0
United States,2020-08-30,1,1.0,1,294946.0,294946.0,294946.0
United States,2020-09-06,1,1.0,1,295253.0,295253.0,295253.0
United States,2020-09-13,1,1.0,1,245621.0,245621.0,245621.0
United States,2020-09-20,1,1.0,1,280977.0,280977.0,280977.0
United States,2020-09-27,1,1.0,1,304774.0,304774.0,304774.0
United States,2020-10-04,1,1.0,1,298348.0,298348.0,298348.0
United States,2020-10-11,1,1.0,1,334249.0,334249.0,334249.0
United States,2020-10-18,1,1.0,1,387634.0,387634.0,387634.0
United States,2020-10-25,1,1.0,1,449438.0,449438.0,449438.0
United States,2020-11-01,1,1.0,1,559394.0,559394.0,559394.0
United States,2020-11-08,1,1.0,1,790094.0,790094.0,790094.0
United States,2020-11-15,1,1.0,1,1004845.0,1004845.0,1004845.0
United States,2020-11-22,1,1.0,1,1175483.0,1175483.0,1175483.0
United States,2020-11-29,1,1.0,1,1162401.0,1162401.0,1162401.0
United States,2020-12-06,1,1.0,1,1280932.0,1280932.0,1280932.0
United States,2020-12-13,1,1.0,1,1468482.0,1468482.0,1468482.0
United States,2020-12-20,1,1.0,1,1517928.0,1517928.0,1517928.0
United States,2020-12-27,1,1.0,1,1360122.0,1360122.0,1360122.0
United States,2021-01-03,1,1.0,1,1380995.0,1380995.0,1380995.0
United States,2021-01-10,1,1.0,1,1667151.0,1667151.0,1667151.0
United States,2021-01-17,1,1.0,1,1589955.0,1589955.0,1589955.0
United States,2021-01-24,1,1.0,1,1265861.0,1265861.0,1265861.0
United States,2021-01-31,1,1.0,1,1068625.0,1068625.0,1068625.0
United States,2021-02-07,1,1.0,1,857250.0,857250.0,857250.0
United States,2021-02-14,1,1.0,1,670572.0,670572.0,670572.0
United States,2021-02-21,1,1.0,1,473485.0,473485.0,473485.0
United States,2021-02-28,1,1.0,1,465751.0,465751.0,465751.0
United States,2021-03-07,1,1.0,1,420739.0,420739.0,420739.0
United States,2021-03-14,1,1.0,1,384000.0,384000.0,384000.0
United States,2021-03-21,1,1.0,1,379551.0,379551.0,379551.0
United States,2021-03-28,1,1.0,1,417818.0,417818.0,417818.0
United States,2021-04-04,1,1.0,1,449960.0,449960.0,449960.0
United States,2021-04-11,1,1.0,1,455950.0,455950.0,455950.0
United States,2021-04-18,1,1.0,1,467217.0,467217.0,467217.0
United States,2021-04-25,1,1.0,1,406095.0,406095.0,406095.0
United States,2021-05-02,1,1.0,1,338407.0,338407.0,338407.0
United States,2021-05-09,1,1.0,1,292324.0,292324.0,292324.0
United States,2021-05-16,1,1.0,1,233350.0,233350.0,233350.0
United States,2021-05-23,1,1.0,1,181609.0,181609.0,181609.0
United States,2021-05-30,1,1.0,1,147811.0,147811.0,147811.0
United States,2021-06-06,1,1.0,1,99112.0,99112.0,99112.0
United States,2021-06-13,1,1.0,1,99565.0,99565.0,99565.0
United States,2021-06-20,1,1.0,1,80627.0,80627.0,80627.0
United States,2021-06-27,1,1.0,1,87637.0,87637.0,87637.0
United States,2021-07-04,1,1.0,1,97037.0,97037.0,97037.0
United States,2021-07-11,1,1.0,1,286510.0,286510.0,286510.0
United States,2021-07-18,1,1.0,1,222579.0,222579.0,222579.0
United States,2021-07-25,1,1.0,1,359027.0,359027.0,359027.0
United States,2021-08-01,1,1.0,1,547086.0,547086.0,547086.0
United States,2021-08-08,1,1.0,1,743056.0,743056.0,743056.0
United States,2021-08-15,1,1.0,1,886464.0,886464.0,886464.0
United States,2021-08-22,1,1.0,1,1019966.0,1019966.0,1019966.0
United States,2021-08-29,1,1.0,1,1094890.0,1094890.0,1094890.0
United States,2021-09-05,1,1.0,1,1144251.0,1144251.0,1144251.0
United States,2021-09-12,1,1.0,1,1022570.0,1022570.0,1022570.0
United States,2021-09-19,1,1.0,1,1037454.0,1037454.0,1037454.0
United States,2021-09-26,1,1.0,1,852294.0,852294.0,852294.0
United States,2021-10-03,1,1.0,1,755688.0,755688.0,755688.0
United States,2021-10-10,1,1.0,1,681984.0,681984.0,681984.0
United States,2021-10-17,1,1.0,1,582237.0,582237.0,582237.0
United States,2021-10-24,1,1.0,1,508543.0,508543.0,508543.0
United States,2021-10-31,1,1.0,1,526186.0,526186.0,526186.0
United States,2021-11-07,1,1.0,1,510211.0,510211.0,510211.0
United States,2021-11-14,1,1.0,1,557180.0,557180.0,557180.0
United States,2021-11-21,1,1.0,1,676876.0,676876.0,676876.0
United States,2021-11-28,1,1.0,1,592394.0,592394.0,592394.0
United States,2021-12-05,1,1.0,1,751017.0,751017.0,751017.0
United States,2021-12-12,1,1.0,1,834969.0,834969.0,834969.0
United States,2021-12-19,1,1.0,1,899109.0,899109.0,899109.0
United States,2021-12-26,1,1.0,1,1417419.0,1417419.0,1417419.0
United States,2022-01-02,1,1.0,1,2712038.0,2712038.0,2712038.0
United States,2022-01-09,1,1.0,1,4682897.0,4682897.0,4682897.0
United States,2022-01-16,1,1.0,1,5650933.0,5650933.0,5650933.0
United States,2022-01-23,1,1.0,1,5042888.0,5042888.0,5042888.0
United States,2022-01-30,1,1.0,1,3789262.0,3789262.0,3789262.0
United States,2022-02-06,1,1.0,1,2188710.0,2188710.0,2188710.0
United States,2022-02-13,1,1.0,1,1222112.0,1222112.0,1222112.0
United States,2022-02-20,1,1.0,1,708156.0,708156.0,708156.0
United States,2022-02-27,1,1.0,1,458272.0,458272.0,458272.0
United States,2022-03-06,1,1.0,1,332509.0,332509.0,332509.0
United States,2022-03-13,1,1.0,1,234332.0,234332.0,234332.0
United States,2022-03-20,1,1.0,1,208740.0,208740.0,208740.0
United States,2022-03-27,1,1.0,1,193469.0,193469.0,193469.0
United States,2022-04-03,1,1.0,1,194464.0,194464.0,194464.0
United States,2022-04-10,1,1.0,1,201192.0,201192.0,201192.0
United States,2022-04-17,1,1.0,1,247939.0,247939.0,247939.0
United States,2022-04-24,1,1.0,1,300721.0,300721.0,300721.0
United States,2022-05-01,1,1.0,1,378549.0,378549.0,378549.0
United States,2022-05-08,1,1.0,1,465658.0,465658.0,465658.0
United States,2022-05-15,1,1.0,1,604955.0,604955.0,604955.0
United States,2022-05-22,1,1.0,1,734495.0,734495.0,734495.0
United States,2022-05-29,1,1.0,1,740720.0,740720.0,740720.0
United States,2022-06-05,1,1.0,1,675627.0,675627.0,675627.0
United States,2022-06-12,1,1.0,1,741044.0,741044.0,741044.0
United States,2022-06-19,1,1.0,1,672256.0,672256.0,672256.0
United States,2022-06-26,1,1.0,1,709637.0,709637.0,709637.0
United States,2022-07-03,1,1.0,1,773772.0,773772.0,773772.0
United States,2022-07-10,1,1.0,1,743769.0,743769.0,743769.0
United States,2022-07-17,1,1.0,1,888229.0,888229.0,888229.0
United States,2022-07-24,1,1.0,1,908695.0,908695.0,908695.0
United States,2022-07-31,1,1.0,1,947983.0,947983.0,947983.0
United States,2022-08-07,1,1.0,1,788051.0,788051.0,788051.0
United States,2022-08-14,1,1.0,1,701618.0,701618.0,701618.0
United States,2022-08-21,1,1.0,1,644925.0,644925.0,644925.0
United States,2022-08-28,1,1.0,1,610329.0,610329.0,610329.0
United States,2022-09-04,1,1.0,1,580363.0,580363.0,580363.0
United States,2022-09-11,1,1.0,1,449509.0,449509.0,449509.0
United States,2022-09-18,1,1.0,1,406901.0,406901.0,406901.0
United States,2022-09-25,1,1.0,1,368725.0,368725.0,368725.0
United States,2022-10-02,1,1.0,1,321234.0,321234.0,321234.0
United States,2022-10-09,1,1.0,1,280584.0,280584.0,280584.0
United States,2022-10-16,1,1.0,1,251280.0,251280.0,251280.0
United States,2022-10-23,1,1.0,1,283734.0,283734.0,283734.0
United States,2022-10-30,1,1.0,1,255156.0,255156.0,255156.0
United States,2022-11-06,1,1.0,1,267304.0,267304.0,267304.0
United States,2022-11-13,1,1.0,1,282897.0,282897.0,282897.0
United States,2022-11-20,1,1.0,1,274984.0,274984.0,274984.0
United States,2022-11-27,1,1.0,1,300171.0,300171.0,300171.0
United States,2022-12-04,1,1.0,1,302599.0,302599.0,302599.0
United States,2022-12-11,1,1.0,1,462223.0,462223.0,462223.0
United States,2022-12-18,1,1.0,1,446014.0,446014.0,446014.0
United States,2022-12-25,1,1.0,1,508009.0,508009.0,508009.0
United States,2023-01-01,1,1.0,1,392203.0,392203.0,392203.0
United States,2023-01-08,1,1.0,1,471714.0,471714.0,471714.0
United States,2023-01-15,1,1.0,1,448092.0,448092.0,448092.0
United States,2023-01-22,1,1.0,1,308025.0,308025.0,308025.0
United States,2023-01-29,1,1.0,1,294867.0,294867.0,294867.0
United States,2023-02-05,1,1.0,1,285402.0,285402.0,285402.0
United States,2023-02-12,1,1.0,1,278228.0,278228.0,278228.0
United States,2023-02-19,1,1.0,1,254372.0,254372.0,254372.0
United States,2023-02-26,1,1.0,1,267168.0,267168.0,267168.0
United States,2023-03-05,1,1.0,1,227828.0,227828.0,227828.0
United States,2023-03-12,1,1.0,1,170593.0,170593.0,170593.0
United States,2023-03-19,1,1.0,1,126613.0,126613.0,126613.0
United States,2023-03-26,1,1.0,1,152968.0,152968.0,152968.0
United States,2023-04-02,1,1.0,1,176358.0,176358.0,176358.0
United States,2023-04-09,1,1.0,1,103472.0,103472.0,103472.0
United States,2023-04-16,1,1.0,1,104057.0,104057.0,104057.0
United States,2023-04-23,1,1.0,1,98467.0,98467.0,98467.0
United States,2023-04-30,1,1.0,1,86484.0,86484.0,86484.0
United States,2023-05-07,1,1.0,1,77165.0,77165.0,77165.0
United States,2023-05-14,1,1.0,1,93260.0,93260.0,93260.0
United States,2023-05-21,0,0.0,1,0.0,,
United States,2023-05-28,0,0.0,1,0.0,,
United States,2023-06-04,0,0.0,1,0.0,,
United States,2023-06-11,0,0.0,1,0.0,,
United States,2023-06-18,0,0.0,1,0.0,,
United States,2023-06-25,0,0.0,1,0.0,,
United States,2023-07-02,0,0.0,1,0.0,,
United States,2023-07-09,0,0.0,1,0.0,,
United States,2023-07-16,0,0.0,1,0.0,,
United States,2023-07-23,0,0.0,1,0.0,,
United States,2023-07-30,0,0.0,1,0.0,,
United States,2023-08-06,0,0.0,1,0.0,,
United States,2023-08-13,0,0.0,1,0.0,,
United States,2023-08-20,0,0.0,1,0.0,,
United States,2023-08-27,0,0.0,1,0.0,,
United States,2023-09-03,0,0.0,1,0.0,,
United States,2023-09-10,0,0.0,1,0.0,,
United States,2023-09-17,0,0.0,1,0.0,,
United States,2023-09-24,0,0.0,1,0.0,,
United States,2023-10-01,0,0.0,1,0.0,,
United States,2023-10-08,0,0.0,1,0.0,,
United States,2023-10-15,0,0.0,1,0.0,,
United States,2023-10-22,0,0.0,1,0.0,,
United States,2023-10-29,0,0.0,1,0.0,,
United States,2023-11-05,0,0.0,1,0.0,,
United States,2023-11-12,0,0.0,1,0.0,,
United States,2023-11-19,0,0.0,1,0.0,,
United States,2023-11-26,0,0.0,1,0.0,,
United States,2023-12-03,0,0.0,1,0.0,,
United States,2023-12-10,0,0.0,1,0.0,,
United States,2023-12-17,0,0.0,1,0.0,,
United States,2023-12-24,0,0.0,1,0.0,,
United States,2023-12-31,0,0.0,1,0.0,,
United States,2024-01-07,0,0.0,1,0.0,,
United States,2024-01-14,0,0.0,1,0.0,,
United States,2024-01-21,0,0.0,1,0.0,,
United States,2024-01-28,0,0.0,1,0.0,,
United States,2024-02-04,0,0.0,1,0.0,,
United States,2024-02-11,0,0.0,1,0.0,,
United States,2024-02-18,0,0.0,1,0.0,,
United States,2024-02-25,0,0.0,1,0.0,,
United States,2024-03-03,0,0.0,1,0.0,,
United States,2024-03-10,0,0.0,1,0.0,,
United States,2024-03-17,0,0.0,1,0.0,,
United States,2024-03-24,0,0.0,1,0.0,,
United States,2024-03-31,0,0.0,1,0.0,,
United States,2024-04-07,0,0.0,1,0.0,,
United States,2024-04-14,0,0.0,1,0.0,,
United States,2024-04-21,0,0.0,1,0.0,,
United States,2024-04-28,0,0.0,1,0.0,,
United States,2024-05-05,0,0.0,1,0.0,,
United States,2024-05-12,0,0.0,1,0.0,,
United States,2024-05-19,0,0.0,1,0.0,,
United States,2024-05-26,0,0.0,1,0.0,,
United States,2024-06-02,0,0.0,1,0.0,,
United States,2024-06-09,0,0.0,1,0.0,,
United States,2024-06-16,0,0.0,1,0.0,,
United States,2024-06-23,0,0.0,1,0.0,,
United States,2024-06-30,0,0.0,1,0.0,,
United States,2024-07-07,0,0.0,1,0.0,,
United States,2024-07-14,0,0.0,1,0.0,,
United States,2024-07-21,0,0.0,1,0.0,,
United States,2024-07-28,0,0.0,1,0.0,,
United States,2024-08-04,0,0.0,1,0.0,,
United States,2024-08-11,0,0.0,1,0.0,,
United States,2024-08-18,0,0.0,1,0.0,,
United States,2024-08-25,0,0.0,1,0.0,,
United States,2024-09-01,0,0.0,1,0.0,,
United States,2024-09-08,0,0.0,1,0.0,,
United States,2024-09-15,0,0.0,1,0.0,,
United States,2024-09-22,0,0.0,1,0.0,,
United States,2024-09-29,0,0.0,1,0.0,,
United States,2024-10-06,0,0.0,1,0.0,,
United States,2024-10-13,0,0.0,1,0.0,,
United States,2024-10-20,0,0.0,1,0.0,,
United States,2024-10-27,0,0.0,1,0.0,,
United States,2024-11-03,0,0.0,1,0.0,,
United States,2024-11-10,0,0.0,1,0.0,,
United States,2024-11-17,0,0.0,1,0.0,,
United States,2024-11-24,0,0.0,1,0.0,,
United States,2024-12-01,0,0.0,1,0.0,,
United States,2024-12-08,0,0.0,1,0.0,,
United States,2024-12-15,0,0.0,1,0.0,,
United States,2024-12-22,0,0.0,1,0.0,,
United States,2024-12-29,0,0.0,1,0.0,,
United States,2025-01-05,0,0.0,1,0.0,,
United States,2025-01-12,0,0.0,1,0.0,,
United States,2025-01-19,0,0.0,1,0.0,,
United States,2025-01-26,0,0.0,1,0.0,,
United States,2025-02-02,0,0.0,1,0.0,,
United States,2025-02-09,0,0.0,1,0.0,,
United States,2025-02-16,0,0.0,1,0.0,,
United States,2025-02-23,0,0.0,1,0.0,,
United States,2025-03-02,0,0.0,1,0.0,,
United States,2025-03-09,0,0.0,1,0.0,,
United States,2025-03-16,0,0.0,1,0.0,,
United States,2025-03-23,0,0.0,1,0.0,,
